Model,Metric,5 angstroms,4 angstroms,3 angstroms,2 angstroms
MLP,MAE,16.268454439300047,13.740479310512324,13.181416552875602,13.862821334985378
MLP,R^2,0.1166903929696655,0.2835147350183787,0.5093533812246324,0.5622746877629617
MLP,Runtime,1.349769115447998,4.841810941696167,0.974661111831665,0.2211930751800537
SVR,MAE,8.95419547404784,6.412353298336979,5.426258936228616,9.430358028135414
SVR,R^2,0.5794687540760143,0.7623699103964876,0.772333206273725,0.7681294885046432
SVR,Runtime,0.2563278675079345,0.1528577804565429,0.3376169204711914,0.3739159107208252
GBR,MAE,8.851006707797048,5.688861124149217,3.3119665871324306,6.31985028786331
GBR,R^2,0.5396276346703313,0.7600488321981891,0.9334646611708229,0.8465538622082588
GBR,Runtime,8.614158868789673,0.2703070640563965,0.3406400680541992,0.0957260131835937
GPR,MAE,16.905299733311374,15.208570031665475,14.027429037197992,20.826144595773293
GPR,R^2,0.2098897776947401,0.434627885271344,0.4012340739101963,0.0846300209956087
GPR,Runtime,9.908159971237184,8.26249098777771,7.824276924133301,7.511648178100586
RF,MAE,7.84255223261419,5.471949371097471,4.396915475321379,6.33408903893108
RF,R^2,0.6185686894567124,0.7746034194665744,0.8912296055928006,0.8777728075156815
RF,Runtime,4.090698003768921,0.5432970523834229,0.0236120223999023,0.2762601375579834
DT,MAE,8.893064377682403,6.415506437768239,4.836957081545066,7.06780686695279
DT,R^2,0.4778940342168131,0.6010432007313748,0.8516892332588317,0.8248752456251889
DT,Runtime,0.0487899780273437,0.0770390033721923,0.0370218753814697,0.0018544197082519
BR,MAE,8.49053027490349,5.935286199831962,3.82947780920796,6.505678590917444
BR,R^2,0.6956308173699255,0.7537918485422471,0.8807612477583675,0.8711156711036564
BR,Runtime,0.1972231864929199,0.2299630641937255,0.1892023086547851,0.0371289253234863
ADB,MAE,15.884712208426294,12.273316745242814,12.608021436270269,12.665308288801269
ADB,R^2,0.3987269637968041,0.6346790283817201,0.5761922390045799,0.6641844601581194
ADB,Runtime,1.413888931274414,0.4126911163330078,0.3269379138946533,0.0141799449920654
ET,MAE,8.463841073492999,6.349545298478348,4.9697192281252365,7.529991621941344
ET,R^2,0.4431483216865388,0.7640069492230561,0.6966790531382794,0.8499222112601801
ET,Runtime,0.0120949745178222,0.0024361610412597,0.0061728954315185,0.000662088394165
KNN,MAE,6.032630901287553,4.303231759656651,4.016961373390556,5.935490221888594
KNN,R^2,0.8090650659956518,0.8248120147068275,0.8470056511774855,0.8622447688381665
KNN,Runtime,0.0369138717651367,0.1361010074615478,0.0283021926879882,0.0176138877868652
EN,MAE,16.075807101885083,15.41290868449963,11.580089613537751,13.784472467073195
EN,R^2,0.3075393843960553,0.4290621202429789,0.6097015081392712,0.5626658128553381
EN,Runtime,0.424576997756958,0.0997309684753418,0.272864818572998,0.1596112251281738
LSO,MAE,21.33643762487051,21.33643762487051,11.43689971923997,13.452454045787675
LSO,R^2,-0.0091550733490117,-0.0091550733490117,0.6271832483309052,0.5736808078440344
LSO,Runtime,0.0741090774536132,0.0994148254394531,0.2156059741973877,0.0503709316253662
RDG,MAE,14.829305088844116,14.483233732649229,11.994816638754145,13.59687842704162
RDG,R^2,0.4080685999289213,0.4303482572855637,0.6190483631133871,0.560923897542422
RDG,Runtime,0.5526206493377686,0.5461680889129639,0.1521260738372802,0.1310262680053711
